"Zip Code","Administrative office, operation center or Other unclassified businesses","Amusement facilities/devices (non-coin)","Bank, Savings & trust companies, etc.","Contracting","Dancing or entertainment, etc.","Dealer in intangible personal property","Dealer in tangible personal property","Eating establishments or Catering businesses","Educational, training institutions","Hotels, apartments, motels, etc. or Commercial, industrial or office space","Local exchange telecommunication company or Communication businesses","Manufacturing, recycling, processing, etc.","Movies, playhouses, stadiums, auditoriums, etc.","Multi-Municipal Contractor","Non-profit charitable, religious or educational institutions","Non-vocal communications, etc.","Pawnbrokers","Professions, professional associations","Retail sales","Service business/multiple service business or Passenger transportation services","Title insurance, abstract companies, etc.","Vending, service & amusement machines"
"33134 zip",0.0148028962188254,0.000482703137570394,0.0115848753016895,0.029444891391794,0.000321802091713596,0.020756234915527,0.0355591311343524,0.0321802091713596,0.00450522928399035,0.0452131938857603,0.000482703137570394,0.00498793242156074,0.000482703137570394,0.00144810941271118,0.00144810941271118,0.000160901045856798,0.00128720836685438,0.605148833467418,0.0569589702333065,0.124698310539019,0.00257441673370877,0.00402252614641995
"33135 zip",0.00769512641993404,0,0.0128252106998901,0.0234518138512276,0.00146573836570172,0.00513008427995603,0.0395749358739465,0.0469036277024551,0.0139245144741664,0.190912422132649,0.00183217295712715,0.0175888603884207,0.00109930377427629,0.000366434591425431,0.00439721509710517,0.000732869182850861,0.0113594723341883,0.275192378160498,0.146207401978747,0.184683034078417,0.000366434591425431,0.0124587761084646
"33136 zip",0.0217391304347826,0,0.0152173913043478,0.0782608695652174,0.00217391304347826,0.00434782608695652,0.0434782608695652,0.0978260869565217,0.0108695652173913,0.226086956521739,0,0.0282608695652174,0,0.00217391304347826,0.0239130434782609,0,0.00217391304347826,0.128260869565217,0.143478260869565,0.158695652173913,0,0.0108695652173913
"33137 zip",0.0290556900726392,0,0.00786924939467312,0.0399515738498789,0.000605326876513317,0.0163438256658596,0.0835351089588378,0.0562953995157385,0.00605326876513317,0.0938256658595642,0.00181598062953995,0.0193704600484262,0,0.00181598062953995,0.011501210653753,0.00181598062953995,0.00181598062953995,0.261501210653753,0.128329297820823,0.225786924939467,0.000605326876513317,0.0102905569007264
"33138 zip",0.0205655526992288,0.0006426735218509,0.0102827763496144,0.0700514138817481,0.0032133676092545,0.0057840616966581,0.0919023136246787,0.038560411311054,0.0173521850899743,0.110539845758355,0.0032133676092545,0.0282776349614396,0.0006426735218509,0.0057840616966581,0.0089974293059126,0.0012853470437018,0,0.23586118251928,0.103470437017995,0.230077120822622,0.0012853470437018,0.0115681233933162
"33139 zip",0.017688679245283,0.00117924528301887,0.0259433962264151,0.0232900943396226,0.0129716981132075,0.013561320754717,0.0395047169811321,0.132370283018868,0.00825471698113208,0.171580188679245,0.000294811320754717,0.00913915094339623,0.00117924528301887,0.000884433962264151,0.00589622641509434,0.000884433962264151,0.000589622641509434,0.189268867924528,0.159198113207547,0.168632075471698,0.0017688679245283,0.0141509433962264
"33142 zip",0.011010184420589,0.00247729149463253,0.00990916597853014,0.0473437930085329,0.00220203688411781,0.00275254610514726,0.15606936416185,0.0487200660611065,0.0052298375997798,0.0418387007982384,0.00165152766308836,0.0605560143132397,0.000275254610514726,0.00302780071566199,0.00605560143132397,0.0011010184420589,0.00412881915772089,0.0308285163776493,0.205890448665015,0.319295348197082,0,0.0156895127993394
"33144 zip",0.00946073793755913,0.000315357931251971,0.0141911069063387,0.0583412172816146,0.000630715862503942,0.00441501103752759,0.0403658152002523,0.0400504572690003,0.0170293282876064,0.0198675496688742,0.00126143172500788,0.0135603910438348,0,0.00315357931251971,0.0022075055187638,0.000630715862503942,0.00567644276253548,0.37117628508357,0.150741091138442,0.233364869126459,0.00126143172500788,0.0097760958688111
"33145 zip",0.0178880553952683,0,0.0161569532602424,0.0663589151759954,0.00173110213502597,0.00807847663012118,0.0415464512406232,0.0409694171956145,0.00923254472013849,0.0438545874206578,0.00115406809001731,0.00807847663012118,0.000577034045008655,0.00173110213502597,0.00346220427005193,0.000577034045008655,0.00288517022504328,0.441431044431621,0.0900173110213503,0.192152336987882,0.00173110213502597,0.00865551067512983
"33146 zip",0.021608643457383,0,0.0120048019207683,0.0282112845138055,0.00120048019207683,0.0198079231692677,0.0288115246098439,0.0360144057623049,0.0114045618247299,0.00480192076830732,0.000600240096038415,0.00660264105642257,0.000600240096038415,0.000600240096038415,0.00540216086434574,0,0,0.645858343337335,0.0750300120048019,0.0960384153661465,0.00120048019207683,0.00420168067226891
"33147 zip",0.0131128848346636,0.00228050171037628,0.0114025085518814,0.0689851767388825,0.00114025085518814,0.00285062713797035,0.101482326111745,0.0427594070695553,0.0096921322690992,0.0313568985176739,0.00171037628278221,0.0456100342075257,0,0.00456100342075257,0.0125427594070696,0.00171037628278221,0.00228050171037628,0.0467502850627138,0.244583808437856,0.324401368301026,0,0.0171037628278221
"33149 zip",0.0307219662058372,0.00307219662058372,0.0230414746543779,0.0614439324116743,0.00153609831029186,0.0307219662058372,0.0629800307219662,0.0937019969278034,0.0184331797235023,0.00921658986175115,0,0.00614439324116743,0,0,0.00460829493087558,0,0,0.310291858678955,0.104454685099846,0.227342549923195,0.00307219662058372,0.00768049155145929
"33150 zip",0.00753498385360603,0,0.0172228202368138,0.0624327233584499,0,0.00430570505920344,0.0731969860064586,0.0430570505920344,0.00322927879440258,0.0656620021528525,0,0.0269106566200215,0,0,0.00861141011840689,0.00107642626480086,0.00645855758880517,0.158234660925727,0.188374596340151,0.305705059203445,0.00107642626480086,0.0172228202368138
